label,mean,max,min,std
0,10.2165067666,18.0744819832,5.13682994488,3.03310826803
0,10.7751067639,27.8345125663,2.72122888967,4.79216507445
0,11.9074485101,42.1272036867,0.655364340601,9.58206715825
0,12.3939194894,55.4808341167,1.28307764193,11.859039849
0,11.497388918,57.5396889593,0.904184439399,11.8132159458
0,12.3182036164,55.8129218995,1.29027707469,10.2954128759
0,11.2522191316,48.6226190281,0.792216680235,10.6310271583
0,12.157281717,52.8479741798,0.975283830235,11.6219461615
0,11.6476760437,45.3549368408,1.81757592648,9.27532338216
0,12.1615183016,44.5531394756,1.40178415213,9.75955901958
0,11.6424161239,45.6151126096,2.21994012114,9.31638156011
0,11.9601940022,47.1540888462,1.33808245164,10.7693558239
0,11.4971122846,49.051625839,0.629816151618,10.2186535179
0,11.1082021751,35.8573522018,3.12471108337,6.02085015206
0,11.2972231185,24.9184501046,2.93466248187,5.03387803775
0,9.91943644005,17.0545975415,5.90827645645,2.06349546243
0,10.7168091557,22.1443149048,1.72260110701,5.015012564
0,10.9035856284,18.8482140234,2.50981785111,4.27184184113
0,10.4950557182,18.3468853562,2.97549090632,4.1185111964
0,11.7762493566,21.4921185319,3.56909226113,4.51955087568
0,9.71296473289,17.9345162786,3.77625041995,2.33914586646
0,9.99876665596,18.2672708369,4.79955682826,2.47265249818
0,11.7153638776,21.3399030802,4.85321152383,3.98861122798
0,10.4925323305,19.0511687124,1.86071214322,4.78298109436
0,11.2283729749,21.7831105976,2.24714425309,4.7879481073
0,10.7027366843,22.4716177313,2.3099370174,5.14075459611
0,11.5437400806,27.3481995074,2.80876489273,5.1388053459
0,10.5956709671,20.3008749103,1.95002697127,4.63352796362
0,11.0833134769,24.9370222724,2.3930714076,5.37924704141
0,11.4004673516,23.3668217266,2.51416258922,5.6286720892
0,11.1807869439,24.1611774536,2.89443024728,5.05564444948
0,11.2585684037,24.7346539795,3.43497779504,5.28909392971
0,12.2588547936,21.8352964377,4.43568501849,4.61567717075
0,10.6133174601,20.4953866868,3.40600583631,4.58954829962
0,10.4873778701,20.6374579885,2.20281133333,5.10834716596
0,11.5951918221,23.0092950002,3.55495658829,4.87852820873
0,10.8027360886,24.369301558,2.1649091159,5.17511737385
0,11.122314032,22.2532742749,1.84693372009,5.18453753995
